1st,2nd,3rd
9304,7786,2562
9827,2529,7492
8226,9562,6375
9844,7428,8582
8295,5780,5457
7869,1771,7253
6714,8692,7900
9719,3046,7529
4222,1113,0387
9254,7161,6321
8541,0726,4324
1370,1244,2812
8084,4689,3047
2901,8246,2552
3660,1663,6457
6249,7337,7738
4466,8918,3642
3281,0004,6154
4425,8211,9748
7930,2000,7320
8129,1342,1318
7168,5141,7538
0100,2692,0301
3200,5725,5089
9609,1085,4370
4372,3550,7691
0170,2691,9903
8856,4865,2448
9188,8685,8391
2307,2172,3023
7769,6752,3231
4701,5190,9955
9834,5774,4706
8173,0207,6595
1594,3952,0854
2865,4405,9944
8239,0747,5618
6985,7746,8316
8732,4666,6877
4870,8645,7352
4479,1808,8792
6926,6822,0051
1170,3411,0738
0266,2889,9128
2387,3114,8604
7664,0870,8237
3653,1774,6719
7872,0437,7018
0326,6619,3358
5697,0856,9488
9851,5229,7229
5481,7707,0877
0917,8027,6667
4967,3831,5848
4345,8277,6716
4327,5012,8889
1878,3058,0707
2320,4188,8675
9932,5376,8553
3239,6099,4646
1918,8295,2637
4840,7644,3250
5019,4598,7533
5357,6812,2188
8045,2311,3866
2253,3647,5232
3756,5943,6959
1434,2922,6985
9428,4395,1308
0157,6859,1549
7509,6111,5402
0997,3836,3870
0470,4383,0841
5407,4839,6660
7550,6604,2866
7715,9535,0314
7290,5149,6390
6527,7687,4870
2857,8079,1715
4582,5989,0636
1792,6919,7706
1685,3191,1511
1904,5584,5555
9569,7301,5606
9213,7518,7240
9054,1018,1745
6380,5255,0126
3945,8909,6434
8548,3148,4775
4845,2048,3311
0185,9765,8997
2265,3319,1523
0058,1581,3597
5863,7050,1826
3396,7876,1544
2484,2072,3317
0031,4999,6128
4265,8096,9981
0243,4407,9744
2196,5424,6938
3972,5157,6925
0519,0325,4183
2416,7971,1367
0192,8598,5117
4110,3490,1193
1139,1428,1509
3753,7120,9171
8816,7328,5708
9643,2804,4933
2348,9415,2935
9760,4308,6418
0489,8819,5690
8378,1303,3186
5821,4906,9384
2232,5656,6156
9233,5910,7414
9740,8985,1515
9390,9596,1031
0528,0199,3755
5687,9799,2812
1334,4265,4726
0388,0164,0605
7073,2248,5322
2191,4885,6018
3009,9423,2530
9114,5771,5407
3844,3802,3759
9371,8962,6502
1699,4152,2904
2752,5780,6292
4094,9916,8299
0363,6982,2537
7376,1318,0909
3269,2767,5778
5337,6781,6551
3585,7590,3217
6891,1670,1283
3045,6041,5570
5821,0360,3403
7213,9981,2182
4306,3674,1282
3362,2238,7500
0518,2467,9700
4496,5205,5782
8157,2763,4475
5408,1631,3963
4874,3359,2133
3797,5311,2534
1777,3637,8412
2571,5829,1542
9092,1465,8028
0044,1268,0967
8832,5166,5658
7475,4679,7273
2800,8919,8389
1967,3551,1399
9294,7727,3543
3628,1062,5623
8947,3309,9979
9040,3410,7076
7608,9545,6281
7439,8305,6155
4221,5878,1558
3398,3219,9318
7425,0606,4512
4539,1800,9533
4095,2467,7537
1783,9193,5411
1821,5633,4484
9820,3418,2372
8910,1574,6215
3733,6584,0777
8306,9864,6753
2296,4389,2387
9486,0311,5549
4509,0175,1364
4742,9029,1922
5988,7954,9439
2527,2282,8322
5453,4118,4722
3629,7432,0872
3032,5156,5347
3277,1403,6587
5197,2122,4561
4599,2439,9427
4067,5366,3909
6319,8340,1183
8655,0779,2389
0611,0176,0350
3386,5322,7033
1310,7847,3620
2245,5060,5685
0791,1679,6325
3344,4283,7114
6729,4666,3346
1757,1182,8079
1827,4142,8138
8038,4658,0822
4782,0652,1591
2265,3093,7704
5861,6267,3669
5897,2192,6490
2092,8636,3686
5136,0150,4654
6193,0105,9926
8251,0384,1566
1324,3652,3970
3647,4945,0615
3003,2630,7348
4010,3191,6482
9729,2525,0225
4223,1509,4490
4326,9478,6477
4993,3107,1911
4535,5162,0305
2787,5049,2385
9900,0663,8771
1421,5488,4614
5252,7748,2177
0813,7299,0394
1073,8026,1541
0729,7937,4415
6842,2919,0953
1633,1084,2493
6427,6242,9639
4237,3236,9417
6230,5709,1457
3486,6397,2755
1105,1464,6718
2927,9472,5884
8605,1488,1552
3077,6077,2463
0514,7281,3219
9294,2842,2950
7789,0197,6701
6015,0655,6045
4387,9526,1864
7996,8387,7475
6230,4591,7235
5207,2594,7606
8065,3232,5549
5723,8337,7551
2069,6295,9762
9395,7141,9023
7326,1307,1016
2882,3374,6008
2462,8104,1506
9484,3208,7693
3436,6324,4717
2023,8664,1835
4483,7390,6873
3789,7654,0182
7818,4127,3878
4346,9772,5157
8545,7026,8634
8420,1971,6402
1705,6769,5764
6736,1092,3203
4190,5568,6555
9883,3052,5329
7950,3724,3665
8351,9812,1022
1733,6060,0264
3817,8039,0039
9238,8216,6020
6216,7690,2830
4860,9336,5993
1261,0386,6520
8498,3771,0704
0345,4174,2825
3765,1485,4029
5416,3647,0415
7486,6668,1239
1072,7934,6184
6957,6321,8463
5076,0296,8536
9309,5155,6596
9935,4905,9471
1825,7691,1948
2834,4119,3651
3847,1704,8606
4639,5305,3956
7817,3279,3032
7830,7281,0127
0851,8179,3156
1736,5256,8103
5744,2465,5218
5044,0999,6658
4635,6130,5527
8439,2168,4108
5407,1900,0319
5021,5458,4588
7438,8793,4275
7137,3762,9162
2661,4802,2337
5776,5495,4381
5122,4606,0397
9112,2116,7317
6074,1795,2517
8341,7945,3984
3214,7222,5025
7226,4424,7965
9999,1088,8889
7241,3619,1320
7536,8009,9178
8177,8872,8946
2417,0748,0500
3672,5601,3513
5837,8787,0136
2617,1166,9281
4295,5461,7597
2947,6428,6429
6607,1014,7267
0498,1621,0716
9378,0263,0196
7981,1382,4980
4862,6690,1429
5980,1588,0599
6250,6443,3589
2124,8513,6878
9486,6931,3393
1587,3912,0239
1023,0701,4909
1109,2032,3210
6609,7935,5163
6416,5956,6961
1953,5711,5872
0879,8334,6516
7581,8704,5313
8616,6992,6169
3408,4650,6870
2803,0535,8713
3757,8264,3701
2495,7085,2368
5919,2868,3863
9755,1923,7683
7724,7820,3800
9103,7306,9773
9942,8130,5642
3650,7162,3796
7089,8526,3923
0451,3573,0681
7761,9799,5551
7688,0485,5726
2328,5100,5462
6015,2776,0427
3138,3636,8559
9138,3874,5386
6251,2447,9818
3496,2710,0678
0662,3719,9388
7329,1273,4776
1305,1397,6217
2351,7393,8473
3189,6773,8931
3893,1560,7822
9269,9950,2295
4707,6748,4001
6096,1881,0807
0650,6731,3909
2268,4562,4817
3901,9587,9495
6445,5869,1238
7874,3924,2658
8056,0044,6889
4886,2041,9394
7162,1379,2713
6683,7738,2881
0035,2694,9613
6734,2569,2725
4973,8848,7085
8863,3599,5513
2677,2052,1802
5423,4432,6474
0205,3620,5080
0244,2613,5953
3676,3683,4936
5502,3215,7254
8985,3977,2954
4471,9519,4685
9970,9956,8693
9328,3866,0566
4727,9483,2775
7190,6432,2776
4875,5871,5258
8237,1638,1474
6102,6131,0902
2323,7094,4483
5906,2773,2397
6573,6090,3231
5587,6561,3806
1085,6277,8905
2316,8418,7484
2874,8716,2033
9959,9265,4276
9550,4201,3502
8759,9471,3803
6600,2255,2044
3703,1341,2556
1817,5451,1900
5053,5230,4052
1446,6945,8528
8517,7680,8953
8569,8038,9246
5064,4876,8587
2643,5039,6096
1208,3040,1774
1490,2620,8992
3399,3253,6632
0851,9068,5127
8520,9241,6658
4762,8804,4282
8782,8547,8450
1236,7932,3069
4324,8466,6614
5634,9359,0710
7578,9492,6494
6946,4119,6412
8684,5438,7196
3967,9232,4954
4576,4607,1022
2443,0771,1103
1242,8908,7486
1838,2212,6889
3775,9065,9290
7922,0959,3770
7602,2456,5610
4781,0867,7771
7664,1681,7610
8935,6917,6253
0988,1557,1429
5648,8951,1624
7655,2163,0521
6745,7775,9239
0272,5730,6276
5068,4929,0957
1574,0538,5663
5851,8181,5350
4047,1428,7959
8814,3062,0440
0335,6732,5067
8278,4859,4399
5053,1252,6350
4080,6684,1419
0133,8814,0630
9485,7587,6656
2926,4208,7569
8081,4779,8089
5843,2871,5128
7052,8301,8742
5817,4617,7758
9370,5991,2749
1375,2512,4416
4789,5315,9026
7205,4554,8154
8745,2660,9356
4464,4846,0548
7812,4522,5211
4568,8351,9949
8217,1956,9161
2024,6010,1797
6330,5411,0794
7425,6323,4546
6272,7013,2611
4001,3123,8531
7900,8988,7104
1269,7499,5547
7037,0566,0637
9103,7619,6868
4964,3072,0088
4051,5338,8095
0527,7077,7502
2727,5790,6357
7135,6938,3113
8146,7427,4060
9458,4859,4142
4527,8483,8392
7563,8005,3188
8717,9640,5423
0856,4742,2732
3557,3285,7432
6486,1235,3445
2639,7763,4881
3640,3127,3711
6563,0822,7227
7586,2895,7199
2194,2321,8818
7184,5669,3444
6618,0197,9401
3569,4190,8500
8445,8631,9844
1846,8701,1410
3694,8693,1035
0823,8718,0148
7147,1710,7874
9912,0333,6739
2897,0931,2909
7046,0745,1488
2354,4961,0767
4745,4866,1463
7365,8827,2082
6429,7493,0790
6034,9764,3320
4685,9807,2433
8011,9807,9798
3216,3302,5343
6106,0999,8955
0954,8629,2565
5615,7698,7439
8113,4363,1557
4822,0452,6188
6997,9400,8634
3756,0200,7702
6286,0386,1533
3909,1911,9529
1870,2015,2640
4597,7084,7125
3283,1561,8562
6318,6655,1576
7958,7006,2616
2245,0670,7006
8666,1194,7228
6908,6184,8641
0506,3642,2942
4429,6925,5410
2712,3487,4415
7227,4070,8522
5845,5834,3230
8820,0450,6904
2722,2788,0808
0691,1791,4877
9176,0650,5304
7639,0426,6492
6452,7782,9401
5405,3480,1082
6504,8561,8760
4132,7276,4072
3384,8671,0390
3029,7909,2917
8469,0093,1622
6792,0402,3506
3017,6977,8784
0762,5795,5951
0249,4075,2423
0664,8321,4383
1891,0138,3573
7247,7815,1704
7389,4700,2891
7080,7103,9928
5484,9660,8001
2564,8930,7662
2768,3102,7571
4061,9169,1691
4542,2608,1611
2635,7681,4331
4464,4053,8818
8976,9245,7084
6524,0128,8462
1183,8442,4807
2871,3087,2803
8691,5250,0952
6062,9227,3304
0760,4776,6325
0314,7153,7206
5882,5865,6785
2119,2483,5272
8792,6011,7922
8860,2854,0794
0603,3463,9334
6511,2325,0548
5845,6501,5885
2126,0111,3354
4875,1841,4507
1187,3844,4944
2845,1162,2154
6069,1158,4279
4132,7117,5271
0239,2546,7742
9581,8103,0772
4109,1919,7957
3493,7687,7537
0702,1459,8661
4314,2941,6902
9774,8784,3281
1650,6800,5268
9075,9554,0088
2531,2345,2581
7453,4215,7075
5067,5455,8474
8149,3782,4283
2437,0917,0747
8659,7152,9284
9730,8285,5782
3927,3255,2486
1433,6413,6721
3725,6339,0891
9941,1074,6799
5122,8020,5636
3269,6550,1325
7552,6071,3543
0968,5591,2755
2699,1804,5169
9475,9689,7461
3375,2520,6566
1688,1070,3517
3682,8289,3858
5099,7065,4008
5325,6494,2690
0464,3838,6538
7273,6459,8454
6122,1948,9238
0144,2147,3289
3715,1806,5006
7612,2893,1180
2381,5449,0584
5637,2194,3782
5645,9038,0990
1057,4213,1547
9505,9928,5939
3901,3006,1500
6679,3926,1225
7502,5511,0563
8155,6387,9710
8688,2387,6724
9471,5658,0756
4764,0847,8297
3950,2025,8810
6442,1373,6237
2977,5846,7802
9280,5071,8348
6402,7614,5509
9982,4834,7156
2936,9724,4497
8477,2645,2220
8100,0962,8499
6016,4857,8273
8363,9275,9250
6735,4456,2435
3346,9686,0947
6808,2197,7356
7506,8723,0987
7914,0919,8479
8381,2211,1466
8196,3201,5845
9040,0411,6482
8542,2949,6190
8679,4800,3238
4560,0843,8267
1890,9386,9193
1839,4879,9397
7279,7285,5627
3697,6689,2121
9070,7588,8551
5779,8570,9188
1038,6219,1069
3658,8382,6060
2156,8109,2381
5920,2017,8536
5486,0413,2856
6763,8300,4764
7444,2318,5781
4627,0538,8617
7102,6176,9454
2118,3182,6281
1563,5395,0053
9309,8846,8073
3228,8710,9579
4138,1915,0844
7584,0531,6884
8488,7078,0781
7408,3503,2004
7093,1688,5547
1666,5059,5050
4542,4898,0135
5057,5281,6383
9919,4812,8733
9794,0994,2372
3128,3934,9365
6835,4304,0667
7912,3180,0966
7407,4329,2443
8596,4383,9134
9420,2056,4878
3998,9561,7699
8224,4459,1632
0836,1662,8135
5931,9548,0603
9742,7504,3500
5036,9050,2390
6932,6058,3815
6661,5704,5541
6757,6154,5920
3543,8636,5986
3931,1622,4863
7364,3588,9078
1344,5566,1920
6859,3105,3531
9306,0335,1829
3659,1317,0160
7323,5284,5751
5569,7407,8441
3019,3280,3274
9451,8109,4803
6544,4726,8348
7407,7855,5978
7512,4949,5959
0316,3471,6271
6438,5611,8997
0587,4956,3296
1704,1231,6949
1276,8801,9269
6793,5989,0313
4162,9731,6897
5787,2124,1052
2669,2980,3065
8443,5425,2792
3905,6861,8110
0403,3810,7863
8195,1251,4838
0940,4530,4279
4478,4285,8442
9512,1278,3342
6152,9231,4873
5633,4066,3241
8452,4613,1867
8735,0765,5904
8992,7727,4165
7270,4304,2528
2426,7230,7172
2981,1802,4147
2969,5585,9378
5404,2535,6719
6864,9243,8364
2923,2063,6279
8405,4330,6263
1809,5553,0591
7083,9336,2093
3617,2737,1860
4977,9923,6325
7568,2249,9921
3423,2905,9703
5290,4439,1982
7908,0099,1148
1113,5723,7572
2129,2112,7021
3589,8206,5483
3499,6490,2488
1529,2941,4572
0180,8453,9528
7662,3069,5355
2393,7403,7633
7871,0890,9444
0694,4575,2145
1950,9811,9720
5591,0721,2344
7621,5358,6637
9919,1098,4899
7585,2805,5680
5842,7830,7894
6470,7709,1211
2912,6757,8467
2802,9918,3562
4678,6859,0236
5011,5215,2526
9224,8019,8439
3051,3466,6429
2605,1958,1654
2542,7867,1821
7453,3249,0032
7585,9926,0144
9812,6488,0411
0811,4734,6945
9932,9768,4690
6449,4223,8377
8141,5057,1604
0811,5417,7663
5818,1768,5617
0341,4343,9007
6409,2485,3414
0499,2766,5702
9360,2087,0978
0189,4969,0319
6596,7865,2901
4812,8092,4564
5515,8908,6689
9992,9916,6106
9482,2772,6751
8067,1574,4467
4357,1970,6950
1828,5824,0955
8039,2095,1350
1063,6265,5702
8596,8965,9589
2698,1089,9481
0581,1325,6777
4076,9225,5167
5607,2858,8967
6818,0640,2166
5474,1591,2370
3795,4966,1383
7107,1624,2916
2439,7224,0518
0936,9676,0035
6622,7480,1158
9872,1067,7477
1264,7762,1568
8322,4468,6758
4494,0331,5928
5377,3115,7631
6522,5555,3058
8707,0310,6551
7923,9123,0439
9882,6089,2405
8926,8319,5331
9557,5492,7580
2767,1128,5408
4858,7094,7170
0247,3341,2453
2221,9645,6982
8639,5849,2344
3755,9850,6275
6331,4362,2810
4368,6797,0443
7351,5476,1980
6253,0010,9200
9578,4951,2053
0983,7707,0043
0155,1314,8551
1381,2279,0878
0249,8071,9918
5497,6143,1563
2096,9305,0290
7289,7633,3676
1092,7213,3646
3458,8724,0751
0814,6033,0284
3686,5683,2070
5265,3615,4145
0747,8680,9906
9736,8204,5721
9238,0179,4301
2263,5228,2278
7920,1139,4141
2427,5748,7375
0825,3782,0854
1917,4629,4331
7568,2934,5597
4290,6539,1993
0872,3482,2634
5154,7285,7372
6166,2950,7951
6455,8599,3672
6074,9164,1334
5746,9344,2014
0766,7034,1402
1885,0254,2183
7016,5008,4950
8021,9785,1614
6445,8425,6680
7674,0083,1441
7150,9848,6502
4061,5954,6003
1335,1518,3146
3981,1516,6169
1409,5594,5355
2810,5203,2809
2953,8715,2543
4709,7417,6841
9019,2893,2881
4512,8228,0669
7661,9215,0643
6521,3210,6930
1343,8058,7680
9173,6973,1571
6176,2006,5010
9789,6899,6068
0879,2755,5092
5699,2790,0470
5594,8722,2471
6696,3417,2250
3436,0231,6702
7514,2428,8490
3932,8582,6703
8511,7460,9438
8474,1692,2652
2882,2567,2147
9761,9667,1995
0491,8346,0779
1150,2589,0125
0235,1431,9330
8519,1950,3002
6801,6660,3892
1175,6167,1462
2911,2030,0486
6865,8943,6831
6303,4181,4857
8908,1073,0910
5093,8666,3852
2875,9283,4031
9264,3247,3037
2610,4961,3698
7341,3682,7004
4125,8380,2763
4591,6879,4869
4512,5162,1351
3952,2874,6288
0336,1487,3164
8545,4516,2547
1229,3665,4286
4231,6177,5170
2320,2368,8231
1353,3790,8629
1178,2056,3020
8650,8662,1180
2683,9918,9186
2422,4573,0553
8911,7342,1657
3305,1432,4930
6492,8980,9685
8345,7509,5337
0491,2460,1024
8233,2607,2613
3646,9101,4322
5159,0764,9734
9404,4767,1992
3396,8272,6610
1683,7900,5526
1338,9355,1070
9687,1260,2912
8965,5017,1043
2130,6564,0978
8170,3846,4904
5914,4709,5187
0542,0764,8456
7730,9804,2106
7117,2673,3519
8241,7736,3577
6763,0320,8359
6481,4236,2587
3788,0152,1327
3931,6054,3951
2221,7687,3512
3821,7739,7772
7188,2536,5267
9865,1031,6110
6826,3533,5940
5934,3604,2471
3352,0643,7586
2973,9259,4071
3388,3394,1768
6206,9737,9260
5519,1429,9989
2505,2457,2624
5889,6668,7423
7333,8954,9983
3260,7769,1680
4615,4468,7948
6593,8591,1689
1219,2585,6095
9499,1674,4184
6176,8829,4188
4569,2747,3473
0758,9114,4246
9121,3719,9440
5726,8651,9404
6677,4056,5143
2008,5367,2491
1329,9812,3117
9111,9345,2393
7116,5749,5372
3137,8248,2096
8932,1694,4524
8287,3075,1305
6069,6747,9372
3940,0218,9828
4322,6743,4938
6529,1527,3815
4167,6141,3919
8313,4052,3307
8731,0048,3805
1051,3394,4021
6420,0587,9794
5497,5325,6943
1711,5397,8076
8519,6253,6662
6909,3787,0202
3156,6574,6873
8338,8896,6189
4418,1172,3069
9421,0399,8641
4911,7163,9763
1975,7304,1441
4892,1444,3314
3073,0798,3833
3079,8958,6859
2276,7198,9899
2981,7259,0534
5299,4302,5756
0760,4213,2525
6841,4267,9421
4401,3355,4833
3773,3607,6778
9920,4555,3232
2237,3679,5045
5806,4146,4259
3419,0640,5651
3210,4406,1186
1946,9720,3781
7375,9566,9495
8441,0919,2315
3823,8390,6482
5530,4072,6412
5583,9586,4761
5819,7463,5424
8594,8084,0271
9571,4647,9889
4952,5143,6051
6720,2019,6354
8689,7370,4718
5347,6323,6699
5772,6850,9292
8552,0921,3483
9479,1115,4456
9205,3583,3500
9962,6397,2263
0572,8950,5903
6002,2484,0640
2919,5579,6887
9102,4218,5656
4097,0167,9384
9322,6514,1945
8294,9323,8532
9387,7403,1174
2228,0924,1420
4665,7616,2799
7512,7543,4891
9756,1578,6806
7832,0666,7790
7538,5481,0816
4013,3355,6320
5884,3639,8336
1180,0831,6999
9277,3745,3981
0226,2087,1682
2969,8504,1696
4450,6515,0597
6743,7735,4402
9200,4293,9433
8261,5542,3355
3083,4316,3572
9425,6655,8823
7181,3128,0469
1353,1901,2486
1423,9409,3330
6341,3357,6231
2775,4932,6259
5422,6908,2769
4755,5072,2657
6808,2210,1459
8136,9216,3367
7032,7648,5836
8495,7037,5372
4681,1021,3962
4449,0006,1483
1891,7479,8774
0064,0567,1746
5108,7225,0204
0910,8294,1760
5741,7284,3729
2669,8899,3749
7117,6308,8052
3369,3145,8348
2417,9262,5092
7934,0789,6785
9621,7745,7593
3765,9773,1526
6731,0816,7730
9642,6804,0653
4618,6101,4068
5045,1384,6814
9071,0132,4401
2633,4874,5671
6604,8611,4772
4166,0125,8237
6697,9357,5666
5918,4757,8312
4572,6878,8002
5305,4083,5935
9096,4344,2543
2533,3477,1049
6817,1243,9645
0631,2516,4429
2984,5417,5168
9330,9877,8483
0700,7770,2829
0223,7693,0935
2616,7977,5679
1880,9978,3229
4649,4906,7546
0451,3073,7002
0271,3886,8969
6069,0279,3778
8673,7880,9388
0496,9286,5123
1006,7879,4878
4911,0479,1939
3080,9606,8352
4667,3115,1412
7810,8814,1282
2526,5139,9095
0186,4594,5987
5483,4496,7726
4742,3979,6939
9322,2450,6622
9555,8385,5586
0206,8593,1386
9414,8025,6212
9827,6431,6308
2014,3280,6423
7632,9939,0073
1955,9355,0093
2660,5082,0812
8892,9184,4727
3008,5253,2302
7696,2716,1294
0662,3624,0878
1149,8936,7668
3985,9622,0238
4112,0177,0001
3817,8787,5158
2084,0076,8342
0434,2161,2010
1805,1001,4921
5014,9443,8467
0628,4048,7396
4009,0009,4459
3118,0193,6301
5793,8541,6076
5874,3429,8587
7550,9496,5782
0958,9565,7134
0977,6684,7357
1320,9514,1297
7323,5327,5248
6696,3746,0737
0852,3310,2311
8027,3460,4378
8556,2342,5875
6966,1752,5377
6035,6118,3980
1225,5909,4037
8137,8609,1424
2102,8084,1180
0435,5103,5717
6444,7694,9351
1678,4670,9667
0400,5293,9238
0525,5443,4224
3998,3880,4230
1940,3270,8099
7707,3252,5932
9311,1537,0119
0755,8356,4657
3446,1717,2450
2741,5219,0813
1398,2219,9493
7077,2596,6776
3365,4535,4073
5935,4311,0243
9165,7476,5009
5194,1707,3925
4331,9251,4649
3816,5959,3697
0966,8798,2541
3814,0575,6522
1722,1729,0420
0501,8804,7588
8204,8793,4680
9752,5263,9334
4660,0366,0566
1858,1190,1470
6563,7352,8203
4807,9903,7454
5177,0346,7850
7089,9344,2993
1660,8488,8213
4856,6472,4096
4410,5951,9690
4177,5760,0048
8970,2429,7520
6500,2302,0372
6592,0997,7851
0350,5392,1853
1959,2913,8682
6249,6804,1671
3120,0914,4736
4609,1989,7535
2398,7201,4828
4872,9776,4580
0476,6143,4957
3093,9999,4499
4014,5225,7879
0428,5236,1676
4377,2738,9605
6852,7817,3981
0882,7757,9318
2520,2101,1756
3723,6256,6734
1313,5217,0552
2059,7697,4361
3733,3127,8173
9751,4478,8284
2652,5203,1638
9985,4012,9804
4232,5876,4797
0483,4238,4196
0984,1379,1013
8617,5318,4337
6373,7143,3405
0490,3061,4464
6270,7829,1955
4867,6054,0131
0134,6782,8994
4211,5961,6702
5196,7207,7772
6166,1953,6743
9624,8080,1269
3200,3701,6174
5908,6971,7865
8014,8142,7218
4203,5459,4643
8108,1764,3473
2043,0254,2102
6633,2226,6475
5874,4248,1566
9078,5914,4244
1489,3303,3198
2131,6754,5388
7320,3062,1832
0883,3638,0338
9490,7001,6870
6148,3339,8018
4707,8436,6624
3952,2249,5756
7270,7691,4881
3791,3806,2823
0109,1055,1027
4449,0291,0331
1032,6029,9660
2432,5966,9535
9698,4091,8525
4269,0594,9284
3108,1267,5816
0454,5359,1635
7932,8665,6830
6722,0227,1387
5472,6812,9568
6848,6259,2356
8019,2621,4804
9296,0513,7326
4795,4808,8918
7651,6667,7380
5330,4104,5907
0112,0883,8763
6325,5672,9556
3147,9387,4317
8333,5732,8426
1450,3324,0509
9420,3949,3167
4402,2380,9098
0162,1788,3584
4030,4304,7899
7534,3303,8133
2284,0145,1422
